firm_id,year,label
firm001,2020,0
firm002,2020,0
firm003,2020,1
firm004,2020,1
firm005,2020,0
firm006,2020,1
firm007,2020,1
firm008,2020,0
firm009,2020,0
firm010,2020,0
firm011,2020,0
firm012,2020,1
firm013,2020,0
firm014,2020,1
firm015,2020,1
firm016,2020,1
firm017,2020,1
firm018,2020,0
firm019,2020,0
firm020,2020,1
firm021,2020,1
firm022,2020,0
firm023,2020,0
firm024,2020,0
firm025,2020,1
firm026,2020,0
firm027,2020,1
firm028,2020,1
firm029,2020,1
firm030,2020,1
firm031,2020,0
firm032,2020,1
firm033,2020,0
firm034,2020,0
firm035,2020,1
firm036,2020,1
firm037,2020,1
firm038,2020,1
firm039,2020,1
firm040,2020,0
