term,coef,std_err,p_value
const,100.59014524065073,23.91503227087981,2.5976111475251623e-05
IT_lag1,19.65065154814506,17.326306602482944,0.2567311269804122
gscpi,33.17768472749479,24.567336245917087,0.17686221515318157
ITxGSCPI,-3.2391118312777323,29.59627974601301,0.9128509636917019
f_firm002,-43.49007594410847,24.23465115505755,0.07272685519733377
f_firm003,-63.48287900125108,24.30331721675663,0.008998593408032178
f_firm004,23.279303743136637,28.54428248819583,0.4147572726107456
f_firm005,-46.32224938994143,21.30840905366227,0.029713002288763307
f_firm006,-85.45681281938722,27.37984003613452,0.0018014121895057911
f_firm007,-60.53562733351248,32.313577108732176,0.061015851857247505
f_firm008,-15.065089012111702,27.437582172518496,0.5829590187038418
f_firm009,-39.266680526943325,20.487901458025682,0.055291445216802355
f_firm010,-38.93987707422774,18.909342334962314,0.0394661747599355
f_firm011,-25.848000780613027,25.737826101692296,0.3152433567446472
f_firm012,-88.25835576554533,33.20085134102017,0.007853221016020743
f_firm013,-15.046235252476302,22.208357903078817,0.49808669170998343
f_firm014,-99.07247186925039,28.836049723004205,0.0005909905604277019
f_firm015,-81.0259709323463,28.699845409017232,0.004754396884690177
f_firm016,-71.11477785424742,29.992690070049537,0.017736655223135594
f_firm017,-81.93807591424302,30.18511378700001,0.006637201974612241
f_firm018,-49.237482109344654,21.574165755212757,0.02247501593581116
f_firm019,-28.386905409376723,21.158001962946194,0.17970533468458294
f_firm020,-81.1840059600533,30.36061917896017,0.007495458434380416
f_firm021,-97.05259740502882,27.701427970109016,0.0004591465434940441
f_firm022,-39.136833706770965,20.824196610758307,0.06019095386320243
f_firm023,-56.53924063970082,25.65160647105716,0.027515846252084645
f_firm024,20.30374001910026,33.03236295821981,0.5387779253346818
f_firm025,-4.389544214199006,30.910674893100076,0.887074169761767
f_firm026,-37.851069148002,22.687215954945277,0.09523881372485674
f_firm027,-73.85702799312124,35.24188286319797,0.036107265211817834
f_firm028,-99.14736097181533,27.42092674940241,0.0002994731768102551
f_firm029,-36.3084071467995,29.556837078219388,0.21928683872582522
f_firm030,-50.037383847466074,29.003936251887012,0.08449272129572137
f_firm031,-38.16022552044961,21.702399749979488,0.07868945656402877
f_firm032,-59.90390719720171,38.851314784861515,0.12310374559659251
f_firm033,-29.651440676110923,23.891467195447103,0.21457281784363713
f_firm034,-37.51236938553635,28.519826034696816,0.18840624514675042
f_firm035,-87.12741266945267,31.14826812162507,0.005155029214353304
f_firm036,-70.02065975837853,29.135600439365508,0.01624926853517811
f_firm037,-65.48439544584542,28.504985537597452,0.021601877452807023
f_firm038,24.1484095856286,30.196581872497767,0.42388073586781627
f_firm039,-56.31339999638025,29.366971752928897,0.055164796716013945
f_firm040,-35.96628013062739,24.94225062261918,0.14930740980707408
t_2019Q3,-6.983250821380054,27.75946942243001,0.8013789883960217
t_2019Q4,-17.845401021377278,19.128780443464002,0.35086723622003424
t_2020Q1,4.6594194377345275,24.151161290878886,0.847015868750961
t_2020Q2,26.71196774143256,15.802096673024922,0.09095020255624746
t_2020Q3,22.560071646835922,13.538472872824071,0.09564023322939928
t_2020Q4,22.013939779479475,11.794429432213096,0.06197574326038801
t_2021Q1,14.845801367396433,10.036897152789944,0.13910755220584728
